review,label_vader,label_flair,label_zeroshot,clean_review
this cured my depression and brought it back full force in the span of 2 hours,negative,positive,positive,this cured my depression and brought it back full force in the span of 2 hours
Love this movie more than I love myself,positive,positive,positive,love this movie more than i love myself
I've taken all of your criticisms into account and have determined that you're all wrong.,negative,negative,negative,ive taken all of your criticisms into account and have determined that youre all wrong
la la land makes me want to be alive for one hour and fifty minutes then sebastian says welcome to seb's and it makes me want to be dead,positive,positive,negative,la la land makes me want to be alive for one hour and fifty minutes then sebastian says welcome to sebs and it makes me want to be dead
“No Jamal...you be trippin.”,negative,negative,negative,no jamal you be trippin
the whole ‘what could've been’ sequence continues to be the reason for my death.,negative,negative,negative,the whole what couldve been sequence continues to be the reason for my death
It’s insane how there’s still haters of this movie bruh like imma put you in a saw trap,negative,negative,negative,it s insane how there s still haters of this movie bruh like imma put you in a saw trap
no YOU live in a society i live in la la land,negative,negative,negative,no you live in a society i live in la la land
"amy: you can just tell us a story :) mia: about? amy: you can just tell us anything :) mia: amy: whenever you're ready :) mia: ................... my aunt used to live in paris. I remember, she used to come home and she would tell us these stories about being abroad. and I remember, she told us that she jumped into the river once. barefoot. she smiled... leapt without looking .... aNd tumbled into... the seine.... the water was freezing....…",positive,positive,positive,amy you can just tell us a story mia about amy you can just tell us anything mia amy whenever youre ready mia my aunt used to live in paris i remember she used to come home and she would tell us these stories about being abroad and i remember she told us that she jumped into the river once barefoot she smiled leapt without looking and tumbled into the seine the water was freezing
THEY BELIEVED IN EACH OTHER SO MUCH!!!!!!!! THEY WERE SO IN LOVE!!!!!!!!!!! I'M A FUCKING WRECK!!!!!!!!!!!!,positive,negative,negative,they believed in each other so much they were so in love im a fucking wreck
this movie is like a double-edged sword because a) it makes me really fucking happy b) it makes me really fucking sad c) it makes me want to stab myself with said sword,negative,positive,negative,this movie is like a double edged sword because a it makes me really fucking happy b it makes me really fucking sad c it makes me want to stab myself with said sword
･ ｡ ☆city∴｡　* ･ﾟ*of｡★･ ･ stars｡　　 * ･ ﾟ*｡･ﾟare★｡ ☆ﾟ･｡you°*. ﾟ *　　ﾟ｡·*･｡shining ﾟ* ﾟ *.｡just ☆｡★　･ * ☆ ｡･ﾟfor*.｡ *　★ ﾟme･｡ * ｡ ･　　ﾟ☆ ｡ Happy La La Land dayyyy!,positive,positive,positive,city ﾟ of stars ﾟ ﾟare ﾟ you ﾟ ﾟ shining ﾟ ﾟ just ﾟfor ﾟme ﾟ happy la la land dayyyy
I enjoy the 2016 Damien Chazelle film La La Land .,positive,positive,positive,i enjoy the 2016 damien chazelle film la la land
"the type of movie that makes me wanna drive alone all night long, reminiscing about moments I’ve never lived",negative,positive,negative,the type of movie that makes me wanna drive alone all night long reminiscing about moments i ve never lived
"I want to take some time to talk about the Epilogue of the film. I've heard many different theories about what the Epilogue truly means. The reality is the idea that true love is being willing to make sacrifices. In this Epilogue, Sebastian was far more willing to make sacrifices for Mia than she was for him. There is a scene earlier on in the film that beautifully foreshadows the entire story. The scene after Sebastian finds Mia's keys and…",positive,positive,positive,i want to take some time to talk about the epilogue of the film ive heard many different theories about what the epilogue truly means the reality is the idea that true love is being willing to make sacrifices in this epilogue sebastian was far more willing to make sacrifices for mia than she was for him there is a scene earlier on in the film that beautifully foreshadows the entire story the scene after sebastian finds mias keys and
